gene length vs. memory (hw=csel-kh1250-13),,,,,,,
time+,2-0,3-0,4-0,5-0,6-0,7-0,8-0
0.72,,,,,0.72,,
0.77,,,,,,0.77,
0.78,0.78,,,,,,
0.78,,0.78,,,,,
0.79,,,0.79,,,,
0.81,,,,0.81,,,
0.81,,,,,,,0.81
1.06,,,,,1.06,,
1.11,1.11,,,,,,
1.11,,,,,,1.11,
1.12,,1.12,,,,,
1.12,,,1.12,,,,
1.15,,,,1.15,,,
1.15,,,,,,,1.15
1.4,,,,,1.4,,
1.46,,,,,,1.46,
1.47,,,1.47,,,,
1.48,,,,1.48,,,
1.48,,,,,,,1.48
1.74,,,,,1.74,,
1.8,,,,,,1.8,
1.82,,,,1.82,,,
1.83,,,,,,,1.83
2.08,,,,,2.08,,
2.15,,,,,,2.15,
2.16,,,,2.16,,,
2.17,,,,,,,2.17
2.42,,,,,2.42,,
2.49,,,,,,2.49,
2.5,,,,,,,2.5
2.51,,,,2.51,,,
2.76,,,,,2.76,,
2.84,,,,,,2.84,
2.84,,,,,,,2.84
3.18,,,,,,3.18,
3.18,,,,,,,3.18
3.52,,,,,,,3.52
3.86,,,,,,,3.86
4.2,,,,,,,4.2
